==12878== Memcheck, a memory error detector
==12878== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==12878== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==12878== Command: RunCollatz
==12878== 
69 51 113
20 100 119
18 6 21
86 26 116
59 49 113
89 60 116
99 3 119
42 47 105
83 19 116
71 51 113
43 64 113
69 24 113
25 97 119
61 8 113
47 20 112
22 7 21
82 46 116
53 9 112
84 65 116
87 8 116
73 43 116
80 11 116
42 10 112
11 71 113
33 57 113
26 3 24
15 65 113
69 55 113
84 55 116
66 8 113
75 85 111
82 54 116
99 69 119
80 36 116
85 51 116
74 16 116
42 21 112
15 93 116
91 99 119
27 62 113
69 54 113
3 62 113
53 85 116
49 94 116
77 21 116
87 83 111
94 38 116
99 22 119
52 31 110
66 55 113
36 36 22
31 92 116
8 15 20
52 82 116
55 40 113
5 71 113
83 34 116
22 67 113
55 14 113
97 54 119
96 33 116
34 21 112
37 94 116
18 57 113
77 41 116
66 53 113
29 51 110
96 27 116
14 92 116
38 58 113
99 68 119
70 71 103
48 100 119
66 1 113
62 13 113
63 66 108
3 11 20
48 96 116
60 12 113
10 71 113
97 90 119
15 70 113
25 61 113
1 15 20
60 92 116
34 99 119
59 52 113
87 46 116
86 35 116
83 18 116
42 87 116
49 22 112
41 49 110
88 50 116
86 29 116
81 45 116
62 13 113
96 10 116
37 76 116
98 3 119
99 60 119
35 69 113
71 70 103
76 45 116
52 64 113
83 16 116
92 18 116
3 69 113
63 37 113
40 79 116
83 71 116
69 52 113
19 91 116
38 14 112
78 14 116
73 4 116
51 40 110
88 19 116
98 92 119
95 87 106
85 84 10
21 80 116
5 77 116
77 29 116
82 73 116
4 84 116
2 98 119
42 12 112
42 63 113
4 49 112
61 29 113
99 92 119
91 32 116
86 62 116
48 80 116
91 3 116
64 71 103
85 31 116
93 50 116
44 71 113
12 65 113
3 20 21
44 18 112
30 97 119
14 61 113
72 34 113
56 24 113
78 34 116
22 36 112
96 56 116
33 13 112
84 32 116
74 40 116
24 48 112
83 28 116
93 70 116
79 75 36
32 96 116
19 26 24
3 12 20
7 82 116
49 95 116
43 38 110
6 48 112
30 12 112
17 77 116
55 33 113
61 10 113
31 67 113
96 22 116
39 13 112
65 7 113
54 82 116
9 97 119
84 33 116
67 41 113
95 75 111
96 98 119
90 93 93
100 55 119
61 89 116
62 93 116
70 80 116
18 37 112
14 7 20
79 12 116
20 5 21
23 15 21
82 78 111
47 92 116
37 33 27
13 56 113
89 45 116
20 46 112
44 76 116
10 91 116
50 26 112
64 17 113
6 87 116
57 8 113
40 32 35
88 6 116
50 5 112
81 51 116
42 33 110
17 16 13
6 1 9
84 79 111
99 59 119
63 93 116
18 39 112
27 10 112
41 77 116
68 15 113
33 17 112
80 24 116
40 58 113
9 83 116
65 41 113
5 44 112
48 45 105
30 21 112
88 39 116
73 48 116
64 73 116
40 49 110
15 94 116
98 65 119
79 46 116
11 51 112
56 9 113
1 58 113
49 92 116
69 100 119
68 100 119
14 24 21
94 36 116
52 52 12
30 32 107
88 70 116
86 91 93
57 20 113
43 43 30
46 97 119
5 8 17
61 4 113
60 78 116
41 22 112
82 43 116
18 75 116
27 49 112
89 8 116
85 99 119
35 41 110
54 89 116
89 21 116
62 78 116
83 79 111
82 61 116
22 25 24
39 49 110
69 2 113
46 96 116
86 16 116
65 56 108
37 88 116
46 54 113
39 46 110
76 25 116
19 12 21
53 17 112
22 21 16
41 62 113
95 97 119
11 89 116
57 34 113
92 8 116
93 79 111
84 20 116
30 69 113
15 59 113
55 15 113
33 36 27
71 99 119
57 76 116
49 73 116
20 92 116
14 94 116
28 15 112
3 45 112
52 46 105
76 81 36
43 90 116
89 96 106
89 49 116
61 50 113
25 35 112
45 33 110
91 83 111
64 51 113
4 4 3
16 23 21
37 25 112
35 89 116
80 46 116
76 97 119
23 76 116
71 20 113
60 10 113
69 58 108
51 91 116
49 9 112
27 75 116
7 4 17
81 26 116
3 100 119
62 63 108
51 11 112
64 31 113
10 49 112
66 39 113
82 19 116
92 55 116
88 96 106
57 74 116
58 13 113
41 20 112
94 40 116
80 50 116
9 14 20
5 89 116
72 97 119
100 88 119
46 81 116
52 5 112
41 46 110
5 98 119
100 78 119
71 79 116
91 83 111
38 5 112
92 57 116
50 49 25
62 33 113
12 33 112
15 3 20
85 55 116
34 58 113
24 76 116
43 11 112
40 77 116
46 34 110
32 51 110
95 78 111
15 100 119
96 51 116
68 94 116
78 8 116
47 96 116
79 53 116
90 96 106
93 29 116
69 2 113
34 38 22
99 72 119
84 81 111
74 46 116
32 10 112
21 21 8
55 50 113
99 22 119
47 67 113
72 69 103
79 68 116
18 8 21
60 76 116
97 56 119
41 42 110
3 52 112
87 69 116
30 77 116
45 87 116
65 4 113
57 99 119
48 89 116
99 77 119
15 39 112
27 30 112
72 73 116
29 10 112
18 59 113
60 81 116
21 14 21
24 67 113
71 7 113
53 51 25
83 73 116
12 27 112
39 94 116
6 55 113
2 92 116
5 29 112
45 9 112
78 27 116
24 43 112
77 49 116
19 26 24
91 97 119
69 89 116
61 25 113
21 91 116
56 86 116
83 66 116
36 25 112
50 16 112
51 1 112
37 48 110
26 74 116
83 51 116
73 3 116
67 96 116
25 8 24
14 54 113
55 29 113
52 15 112
92 51 116
82 20 116
98 56 119
77 62 116
63 97 119
96 33 116
99 41 119
10 1 20
61 11 113
61 71 108
28 34 107
8 94 116
49 28 110
39 20 112
60 96 116
50 26 112
93 32 116
46 53 105
59 78 116
74 34 116
66 79 116
87 43 116
50 48 25
70 44 113
94 54 116
84 99 119
82 50 116
85 21 116
82 94 111
4 59 113
43 74 116
33 5 112
49 76 116
19 97 119
73 22 116
97 69 119
95 68 116
42 16 112
89 94 106
75 49 116
59 94 116
100 67 119
76 11 116
46 68 113
44 68 113
5 63 113
30 49 110
92 75 111
75 69 116
59 74 116
7 87 116
64 20 113
69 92 116
27 62 113
93 53 116
2 20 21
87 52 116
50 75 116
93 55 116
55 22 113
60 93 116
90 73 116
82 44 116
68 39 113
25 19 24
99 92 119
68 14 113
5 52 112
26 89 116
64 35 113
80 36 116
10 42 112
84 60 116
38 84 116
93 60 116
86 95 106
34 31 107
98 42 119
63 31 113
37 92 116
57 90 116
36 83 116
12 5 20
81 94 111
4 46 112
8 9 20
42 50 105
23 33 112
83 53 116
91 21 116
78 91 111
14 92 116
16 45 112
60 18 113
67 86 116
13 96 116
79 27 116
47 68 113
20 13 21
39 27 112
48 99 119
72 12 113
7 13 20
48 24 112
37 99 119
9 64 113
46 14 112
43 9 112
80 62 116
89 52 116
9 66 113
60 7 113
73 80 116
30 98 119
62 59 108
98 84 119
87 90 31
96 14 116
95 71 116
25 60 113
28 13 112
90 82 111
38 25 112
28 70 113
4 19 21
35 85 116
99 100 26
46 56 113
65 81 116
32 41 110
73 75 116
35 66 113
96 28 116
21 19 21
6 94 116
72 83 116
51 85 116
5 14 20
57 34 113
47 87 116
41 92 116
88 16 116
36 8 112
59 39 113
61 17 113
48 89 116
29 25 112
15 36 112
17 30 112
49 2 112
41 5 112
95 96 106
31 42 110
87 90 31
26 81 116
53 24 112
97 58 119
13 76 116
95 72 116
94 47 116
56 4 113
53 69 113
59 48 113
52 77 116
45 52 105
28 92 116
2 54 113
15 75 116
10 52 112
81 24 116
82 76 111
63 100 119
62 60 108
69 92 116
99 24 119
96 37 116
44 49 105
65 38 113
97 43 119
98 79 119
18 90 116
10 46 112
51 68 113
39 48 110
83 78 111
41 25 112
92 74 111
36 18 112
48 66 113
49 28 110
62 39 113
86 32 116
4 82 116
2 40 112
12 56 113
79 61 116
9 47 112
96 75 111
7 2 17
12 79 116
20 16 21
96 92 106
80 37 116
24 37 112
64 65 28
22 21 16
92 73 116
92 48 116
86 63 116
84 21 116
9 91 116
31 94 116
60 39 113
10 43 112
28 53 110
